,neighbourhood,price
0,Bang Bon,2405.7
1,Bang Kapi,2222.63
2,Bang Khae,1047.73
3,Bang Khen,1573.97
4,Bang Kho laen,1716.18
5,Bang Khun thain,1934.23
6,Bang Na,1945.02
7,Bang Phlat,1205.07
8,Bang Rak,2491.1
9,Bang Sue,1506.26
10,Bangkok Noi,2535.51
11,Bangkok Yai,2042.54
12,Bueng Kum,2211.28
13,Chatu Chak,1828.71
14,Chom Thong,1899.78
15,Din Daeng,2149.15
16,Don Mueang,1252.17
17,Dusit,2507.2
18,Huai Khwang,3359.06
19,Khan Na Yao,1539.1
20,Khlong Sam Wa,2357.0
21,Khlong San,2458.44
22,Khlong Toei,2799.37
23,Lak Si,1812.68
24,Lat Krabang,1622.42
25,Lat Phrao,2751.82
26,Min Buri,1905.36
27,Nong Chok,2942.88
28,Nong Khaem,1084.67
29,Parthum Wan,3643.99
30,Phasi Charoen,1499.49
31,Phaya Thai,1896.78
32,Phra Khanong,1512.42
33,Phra Nakhon,2632.57
34,Pom Prap Sattru Phai,2284.82
35,Pra Wet,2829.31
36,Rat Burana,1199.75
37,Ratchathewi,3057.59
38,Sai Mai,1801.62
39,Samphanthawong,2179.54
40,Saphan Sung,2131.7
41,Sathon,2543.69
42,Suanluang,2050.33
43,Taling Chan,3129.24
44,Thawi Watthana,1564.35
45,Thon buri,1249.56
46,Thung khru,2146.85
47,Vadhana,3547.79
48,Wang Thong Lang,2015.63
49,Yan na wa,2797.36
